Date,ITSA4.SA,PETR4.SA,VALE3.SA
2015-03-09,4.92872953414917,8.005669593811035,14.88290786743164
2015-03-10,4.808516025543213,7.646671295166016,14.547780990600586
2015-03-11,4.970541954040527,7.844119548797607,14.364980697631836
2015-03-12,4.991448879241943,7.601795673370361,14.364980697631836
2015-03-13,4.954862117767334,7.485121250152588,14.38021183013916
2015-03-16,4.970541954040527,7.529996871948242,14.3954439163208
2015-03-17,5.09075403213501,7.951818466186523,15.141874313354492
2015-03-18,5.289368629455566,8.256969451904297,14.92099380493164
2015-03-19,5.294593334197998,8.005669593811035,14.58586311340332
2015-03-20,5.273688316345215,8.274917602539062,15.423691749572754
2015-03-23,5.26846170425415,8.37364387512207,15.522706985473633
2015-03-24,5.258006572723389,8.454415321350098,14.913374900817871
2015-03-25,5.294593334197998,8.795466423034668,15.050475120544434
2015-03-26,5.143021106719971,8.37364387512207,14.41067886352539
2015-03-27,5.043713092803955,8.400567054748535,13.976531982421875
2015-03-30,5.200515270233154,8.714692115783691,14.182180404663086
2015-03-31,5.216194152832031,8.669816970825195,13.6642484664917
2015-04-01,5.399130344390869,9.208313941955566,13.359583854675293
2015-04-02,5.49320650100708,9.594237327575684,13.70994758605957
2015-04-06,5.5925140380859375,9.612187385559082,13.808963775634766
2015-04-07,5.582058429718018,9.800662994384766,14.471613883972168
2015-04-08,5.57160758972168,9.486538887023926,14.281198501586914
2015-04-09,5.467075824737549,10.3930082321167,14.3192777633667
2015-04-10,5.503660678863525,10.599433898925781,14.029848098754883
2015-04-13,5.49843168258667,11.012282371520996,13.89274787902832
2015-04-14,5.472301006317139,11.182806968688965,14.281198501586914
2015-04-15,5.55592679977417,11.972604751586914,14.636696815490723
2015-04-16,5.529792308807373,11.649504661560059,14.211760520935059
2015-04-17,5.467075824737549,11.622580528259277,14.007160186767578
2015-04-20,5.409580230712891,11.730279922485352,13.95207405090332
2015-04-22,5.451394081115723,11.667454719543457,15.305575370788574
2015-04-23,5.514113903045654,11.55078125,16.59612464904785
2015-04-24,5.697046279907227,11.86490535736084,18.25652503967285
2015-04-27,5.6500043869018555,11.236655235290527,18.46112060546875
2015-04-28,5.613420009613037,11.461030006408691,17.745025634765625
2015-04-29,5.58728551864624,11.505904197692871,16.61186408996582
2015-04-30,5.545472621917725,11.721303939819336,17.82371711730957
2015-05-04,5.597740650177002,12.376477241516113,19.499853134155273
2015-05-05,5.5308403968811035,12.950875282287598,21.294031143188477
2015-05-06,5.47334623336792,12.376477241516113,19.617897033691406
2015-05-07,5.507842063903809,12.259801864624023,18.791627883911133
2015-05-08,5.582581520080566,12.125177383422852,17.90241050720215
2015-05-11,5.599830150604248,12.358528137207031,18.319477081298828
2015-05-12,5.5480875968933105,12.322625160217285,17.571903228759766
2015-05-13,5.444598197937012,12.547001838684082,16.997453689575195
